tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,hunt,prey_p_month,age_years,animal-reproductive-condition,animal-sex,hrs_indoors, n_cats,study-site
ClawdTag,Clawd,Felis catus,12:04.0,50:58.0, Yes,3,7,Neutered,m,22,1,AUS
RodneyTag,Rodney,Felis catus,33:27.0,59:17.0, Yes,2,4,Neutered,m,10,2,AUS
NinjaTag,Ninja,Felis catus,31:24.0,01:53.0, Yes,6,1,Spayed,f,22,1,AUS
Lucy3Tag,Lucy3,Felis catus,33:34.0,29:26.0, Yes,6,3,Spayed,f,1,1,AUS
MarthaTag,Martha,Felis catus,54:26.0,58:20.0, Yes,1,2,Spayed,f,20,3,AUS
MomoTag,Momo,Felis catus,24:42.0,09:31.0, Yes,1,2,Spayed,f,12,1,AUS
LilliputTag,Lilliput,Felis catus,30:58.0,56:37.0, Yes,3,3,Spayed,f,23,2,AUS
LucimsTag,Lucims,Felis catus,31:47.0,18:36.0, No,0,15,Spayed,f,1,1,AUS
TipsyTag,Tipsy,Felis catus,31:59.0,56:30.0, No,0,10,Fixed, ,20,1,AUS
MissyMooTag,MissyMoo,Felis catus,32:20.0,15:17.0, ,0,8,Spayed,f,18,1,AUS
MintyTag,Minty,Felis catus,33:59.0,16:36.0, ,1,3,Spayed,f,16,2,AUS
TillyTag,Tilly,Felis catus,52:59.0,09:25.0, ,0,7,Spayed,f,18,1,AUS
TipsieTag,Tipsie,Felis catus,47:26.0,35:22.0, Yes,4,3,Spayed,f,5,2,AUS
PearlTag,Pearl,Felis catus,06:49.0,58:04.0, No,0,0,Spayed,f,0,0,AUS
RingoTag,Ringo,Felis catus,03:07.0,25:18.0, Yes,1,9,Neutered,m,12,2,AUS
LibertyBelleTag,LibertyBelle,Felis catus,55:31.0,53:57.0, Yes,3,2,Spayed,f,20,1,AUS
SmudgeTag,Smudge,Felis catus,45:32.0,46:38.0, ,0,9,Neutered,m,8,1,AUS
ScoutTag,Scout,Felis catus,39:31.0,45:05.0, ,0,8,Neutered,m,3,3,AUS
RoxiTag,Roxi,Felis catus,31:50.0,54:11.0, Yes,11,2,Spayed,f,12,2,AUS
DarcyTag,Darcy,Felis catus,32:30.0,58:45.0, Yes,4,8,Neutered,m,12,1,AUS
ZakTag,Zak,Felis catus,32:34.0,49:26.0, Yes,11,2,Neutered,m,8,1,AUS
Kitty2Tag,Kitty2,Felis catus,32:59.0,35:42.0, Yes,1,5,Neutered,m,13,2,AUS
Millie2Tag,Millie2,Felis catus,33:35.0,53:01.0, ,0,11,Spayed,f,13,1,AUS
CatTag,Cat,Felis catus,34:05.0,59:41.0, Yes,1,6,Neutered,m,13,1,AUS
Darcie2Tag,Darcy2,Felis catus,34:09.0,39:41.0, Yes,1,8,Neutered,m,23,1,AUS
BugsyTag,Bugsy,Felis catus,35:03.0,10:46.0, Yes,3,5,Neutered,m,6,2,AUS
RumpyTag,Rumpy,Felis catus,49:15.0,59:12.0, Yes,3,11,Neutered,m,20,1,AUS
EldrickTag,Eldrick,Felis catus,22:14.0,28:10.0, Yes,11,2,Neutered,m,8,1,AUS
LatteTag,Latte,Felis catus,35:53.0,47:25.0, Yes,3,4,Spayed,f,17,1,AUS
MerlotTag,Merlot,Felis catus,33:10.0,27:28.0, Yes,8,9,Neutered,m,12,1,AUS
HollyTag,Holly,Felis catus,35:08.0,40:55.0, Yes,7,3,Spayed,f,3,1,AUS
GeorgeTag,George,Felis catus,32:49.0,59:52.0, Yes,3,3,Neutered,m,10,2,AUS
SparkleTag,Sparkle,Felis catus,47:10.0,57:37.0, Yes,5,4,Spayed,f,10,1,AUS
BasilTag,Basil,Felis catus,38:34.0,24:13.0, Yes,2,3,Neutered,m,3,1,AUS
MilfredTag,Milfred,Felis catus,32:11.0,14:48.0, Yes,7,3,Neutered,m,14,1,AUS
SylviaTag,Sylvia,Felis catus,33:51.0,34:05.0, Yes,3,10,Spayed,f,14,2,AUS
LeoTag,Leo,Felis catus,34:18.0,46:49.0, Yes,3,2,Neutered,m,2,1,AUS
OscarTag,Oscar,Felis catus,48:20.0,22:05.0, Yes,1,10,Neutered,m,12,1,AUS
PepperTag,Pepper,Felis catus,02:09.0,38:19.0, Yes,2,2,Neutered,m,6,1,AUS
JerichoTag,Jericho,Felis catus,30:33.0,06:52.0, ,0,12,Neutered,m,1,1,AUS
MoggyTag,Moggy,Felis catus,49:41.0,55:14.0, Yes,1,11,Spayed,f,18,1,AUS
LouisTag,Louis,Felis catus,34:27.0,37:21.0, No,0,12,Neutered,m,21,1,AUS
ThorntonTag,Thornton,Felis catus,48:56.0,46:49.0, Yes,0,2,Neutered,m,1,2,AUS
CleoTag,Cleo,Felis catus,51:30.0,11:07.0, Yes,0,4,Spayed,f,10,1,AUS
AngelTag,Angel,Felis catus,03:05.0,21:37.0, Yes,5,3,Spayed,f,10,1,AUS
CharlieFrankTag,CharlieFrank,Felis catus,16:55.0,24:04.0, No,0,4,Neutered,m,4,1,AUS
BungeyTag,Bungey,Felis catus,38:33.0,17:27.0, Yes,1,6,Neutered,m,12,1,AUS
GusTag,Gus,Felis catus,41:01.0,09:34.0, Yes,3,3,Neutered,m,15,1,AUS
PusskinsTag,Pusskins,Felis catus,10:38.0,43:17.0, ,0,7,Neutered,m,15,1,AUS
EddieTag,Eddie,Felis catus,32:04.0,20:23.0, No,0,11,Neutered,m,14,1,AUS
GoldfingerTag,Goldfinger,Felis catus,32:05.0,31:33.0, No,0,4,Neutered,m,15,1,AUS
PussyGaloreTag,PussyGalore,Felis catus,32:27.0,02:50.0, ,1,0.25,Spayed,f,15,2,AUS
TashaTag,Tasha,Felis catus,32:34.0,20:26.0, Yes,1,9,Spayed,f,12,1,AUS
ChuckNorrisTag,ChuckNorris,Felis catus,19:13.0,32:51.0, Yes,2,3,Neutered,m,12,1,AUS
PhoenixTag,Phoenix,Felis catus,30:33.0,46:32.0, Yes,0,4,Neutered,m,7,1,AUS
JackTag,Jack,Felis catus,31:33.0,06:25.0, Yes,5,6,Neutered,m,2,2,AUS
CosiTag,Cosi,Felis catus,32:03.0,39:25.0, Yes,3,8,Spayed,f,2,1,AUS
BootsTag,Boots,Felis catus,32:03.0,37:03.0, Yes,3,3,Spayed,f,8,3,AUS
YodaTag,Yoda,Felis catus,32:04.0,57:47.0, Yes,0,5,Neutered,m,16,2,AUS
BuddhaTag,Buddha,Felis catus,33:14.0,56:53.0, Yes,2,6,Neutered,m,7,1,AUS
Milo2Tag,Milo2,Felis catus,54:37.0,07:30.0, Yes,16,2,Neutered,m,6,1,AUS
WinnieTag,Winnie,Felis catus,30:35.0,46:53.0, No,0,14,Spayed,f,5,1,AUS
XanderTag,Xander,Felis catus,49:44.0,17:39.0, Yes,3,2,Neutered,m,15,3,AUS
PatraTag,Patra,Felis catus,32:05.0,57:07.0, Yes,2,8,Spayed,f,10,1,AUS
PantsTag,Pants,Felis catus,33:26.0,20:23.0, Yes,4,7,Neutered,m,16,1,AUS
Leo2Tag,Leo2,Felis catus,32:34.0,59:12.0, No,0,10,Neutered,m,12,1,AUS
LillyTag,Lilly,Felis catus,32:47.0,58:19.0, ,0,4,Spayed,f,1,3,AUS
BennyTag,Benny,Felis catus,33:04.0,54:56.0, Yes,1,7,Neutered,m,13,2,AUS
MussTag,Muss,Felis catus,30:57.0,59:44.0, Yes,1,7,Neutered,m,15,1,AUS
DCTag,DC,Felis catus,31:03.0,34:16.0, No,0,6,Neutered,m,12,1,AUS
Milo3Tag,Milo3,Felis catus,32:34.0,56:30.0, Yes,2,4,Neutered,m,12,1,AUS
MerlinTag,Merlin,Felis catus,32:55.0,47:45.0, Yes,4,1,Neutered,m,12,2,AUS
TippyTag,Tippy,Felis catus,50:34.0,27:01.0, ,0,12,Not Fixed,m,12,1,AUS
HaHaTag,HaHa,Felis catus,30:56.0,13:55.0, Yes,0,2,Neutered,m,17,2,AUS
PaulTag,Paul,Felis catus,34:56.0,18:06.0, No,0,0.4,Neutered,m,10,3,AUS
Ruby2Tag,Ruby2,Felis catus,48:53.0,19:03.0, Yes,6,2,Spayed,f,7,1,AUS
PantherTag,Panther,Felis catus,43:21.0,42:58.0, Yes,0,2,Spayed,f,17,1,AUS
MittensTag,Mittens,Felis catus,19:43.0,10:20.0, Yes,2,5,Spayed,f,10,2,AUS
JesterTag,Jester,Felis catus,28:34.0,57:40.0, Yes,2,5,Neutered,m,3,1,AUS
Ruby3Tag,Ruby3,Felis catus,51:33.0,53:55.0, Yes,1,9,Spayed,f,8,1,AUS
AliTag,Ali,Felis catus,34:26.0,56:45.0, Yes,5,0.67,Spayed,f,12,1,AUS
StinkyTag,Stinky,Felis catus,52:56.0,29:34.0, No,0,14,Spayed,f,6,1,AUS
ShadowTag,Shadow,Felis catus,32:32.0,48:30.0, Yes,13,8,Spayed,f,20,1,AUS
KikkiDeeTag,KikkiDee,Felis catus,35:19.0,18:30.0, Yes,0,8,Spayed,f,20,1,AUS
Jasper2Tag,Jasper2,Felis catus,48:25.0,38:03.0, Yes,2,2,Neutered,m,18,1,AUS
SootyTa,Sooty,Felis catus,43:18.0,00:06.0, Yes,2,10,Spayed,f,4,2,AUS
RosieTag,Rosie,Felis catus,43:24.0,32:41.0, Yes,3,4,Spayed,f,12,1,AUS
MonaLisaTag,MonaLisa,Felis catus,32:13.0,57:42.0, No,0,9,Spayed,f,17,1,AUS
BoofyTag,Boofy,Felis catus,14:13.0,46:14.0, Yes,1,9,Neutered,m,0,1,AUS
Kitty3Tag,Kitty3,Felis catus,30:34.0,02:35.0, ,0,1,Spayed,f,3,1,AUS
BruceTag,Bruce,Felis catus,34:08.0,55:31.0, Yes,2,2,Neutered,m,20,1,AUS
LucarioBlackTag,LucarioBlack,Felis catus,34:26.0,04:07.0, Yes,3,3,Neutered,m,19,2,AUS
TruffulaTag,Truffula,Felis catus,52:07.0,26:57.0, Yes,3,5,Spayed,f,2,1,AUS
Rosie2Tag,Rosie2,Felis catus,00:52.0,11:18.0, Yes,2,11,Spayed,f,16,2,AUS
JazzieTag,Jazzie,Felis catus,45:41.0,16:12.0, Yes,5,1,Spayed,f,6,3,AUS
LilaTag,Lila,Felis catus,32:28.0,40:25.0, Yes,1,7,Spayed,f,13,1,AUS
MrLittleCatTag,MrLittleCat,Felis catus,32:45.0,57:06.0, Yes,3,8,Neutered,m,1,1,AUS
AshTag,Ash,Felis catus,35:50.0,32:10.0, Yes,2,8,Neutered,m,12,1,AUS
Kitty4Tag,Kitty4,Felis catus,38:57.0,33:25.0, Yes,4,2,Not Fixed,m,12,1,AUS
Ruby4Tag,Ruby4,Felis catus,41:02.0,26:09.0, Yes,2,3,Spayed,f,16,1,AUS
FelixTag,Felix,Felis catus,32:04.0,38:47.0, Yes,2,2,Neutered,m,12,1,AUS
Bella5Tag,Bella5,Felis catus,33:26.0,59:59.0, No,0,5,Spayed,f,12,1,AUS
Tiger3Tag,Tiger3,Felis catus,40:02.0,16:39.0, ,0,15,Neutered,m,16,1,AUS
CheekyTag,Cheeky,Felis catus,23:08.0,24:27.0, ,1,15,Neutered,m,16,2,AUS
MacaTag,Maca,Felis catus,31:31.0,31:07.0, Yes,9,10,Spayed,f,1,1,AUS
IvoryTag,Ivory,Felis catus,32:04.0,22:09.0, Yes,2,2,Spayed,f,19,1,AUS
SoxyTag,Soxy,Felis catus,32:22.0,19:02.0, Yes,1,14,Neutered,m,15,1,AUS
Tilly2Tag,Tilly2,Felis catus,32:22.0,08:58.0, Yes,6,10,Spayed,f,20,2,AUS
HarryTag,Harry,Felis catus,32:29.0,50:23.0, ,0,2,Neutered,m,1,1,AUS
Misty3Tag,Misty3,Felis catus,32:51.0,44:23.0, Yes,1,0,Spayed,f,20,2,AUS
BooTag,Boo,Felis catus,35:44.0,19:25.0, ,0,4,Neutered,m,0,3,AUS
GrimmTag,Grimm,Felis catus,48:51.0,10:00.0, ,0,0.58,Neutered,m,8,4,AUS
BessyTag,Bessy,Felis catus,09:55.0,10:57.0, Yes,21,8,Spayed,f,18,1,AUS
NelsonTag,Nelson,Felis catus,08:59.0,09:42.0, Yes,5,3,Neutered,m,8,1,AUS
Marbles2Tag,Marbles2,Felis catus,30:41.0,05:44.0, No,0,2,Spayed,f,0,3,AUS
TuxTag,Tux,Felis catus,32:04.0,03:26.0, No,0,6,Neutered,m,10,1,AUS
RipleyTag,Ripley,Felis catus,32:33.0,59:37.0, Yes,4,3,Spayed,f,20,2,AUS
Merlin2Tag,Merlin2,Felis catus,32:41.0,05:41.0, ,0,9,Neutered,m,3,2,AUS
MrWhiskersTag,MrWhiskers,Felis catus,39:21.0,57:26.0, No,0,5,Spayed,f,20,1,AUS
Charlie2Tag,Charlie2,Felis catus,05:30.0,50:43.0, ,0,3,Neutered,m,15,1,AUS
HazelTag,Hazel,Felis catus,30:55.0,59:48.0, Yes,3,1,Fixed, ,14,1,AUS
Leo3Tag,Leo3,Felis catus,31:02.0,57:31.0, Yes,3,6,Neutered,m,5,2,AUS
Soxy2Tag,Soxy2,Felis catus,31:51.0,30:27.0, No,0,2,Neutered,m,22,1,AUS
TheoTag,Theo,Felis catus,32:12.0,57:44.0, ,0,6,Neutered,m,5,3,AUS
GeezerTag,Geezer,Felis catus,33:55.0,59:36.0, ,0,5,Neutered,m,5,1,AUS
Harry2Tag,Harry2,Felis catus,31:58.0,48:52.0, No,0,2,Neutered,m,8,1,AUS
MidnightTag,Midnight,Felis catus,32:11.0,58:53.0, Yes,1,11,Neutered,m,15,1,AUS
RupertTag,Rupert,Felis catus,32:29.0,52:57.0, Yes,0,1,Neutered,m,8,3,AUS
JasmineTag,Jasmine,Felis catus,32:51.0,05:59.0, Yes,1,11,Spayed,f,18,2,AUS
LilyTag,Lily,Felis catus,33:56.0,58:50.0, ,0,3,Spayed,f,12,4,AUS
Buddy2Tag,Buddy2,Felis catus,35:25.0,38:11.0, Yes,4,4,Neutered,m,15,1,AUS
SibeliusTag,Sibelius,Felis catus,44:04.0,42:23.0, Yes,4,3,Neutered,m,4,1,AUS
TimmyTag,Timmy,Felis catus,31:04.0,34:07.0, Yes,6,3,Neutered,m,12,1,AUS
FlandersTag,Flanders,Felis catus,32:23.0,57:46.0, No,0,1,Neutered,m,13,1,AUS
ZoeTag,Zoe,Felis catus,30:33.0,59:09.0, Yes,2,7,,f,3,1,AUS
Pepper2Tag,Pepper2,Felis catus,30:57.0,59:42.0, Yes,0,10,Spayed,f,2,2,AUS
Charlie3Tag,Charlie3,Felis catus,30:58.0,59:53.0, Yes,1,12,Spayed,f,10,1,AUS
SunnyTag,Sunny,Felis catus,31:38.0,59:46.0, Yes,3,15,Neutered,m,8,1,AUS
RascalTag,Rascal,Felis catus,32:35.0,37:45.0, No,0,0.67,Neutered,m,16,3,AUS
SchnoozTag,Schnooz,Felis catus,32:35.0,58:51.0, Yes,3,8,Neutered,m,12,1,AUS
AmbaRoseTag,AmbaRose,Felis catus,32:42.0,58:33.0, Yes,2,10,Spayed,f,7,1,AUS
TobinTag,Tobin,Felis catus,32:58.0,57:57.0, Yes,0,6,Neutered,m,14,1,AUS
Rupert2Tag,Rupert2,Felis catus,33:02.0,03:42.0, Yes,3,3,Neutered,m,14,1,AUS
Felix2Tag,Felix2,Felis catus,35:49.0,26:59.0, Yes,1,4,Spayed,f,16,1,AUS
SammiTag,Sammi,Felis catus,32:06.0,59:36.0, No,0,11,Spayed,f,22,1,AUS
PicassoTag,Picasso,Felis catus,32:07.0,59:10.0, Yes,2,8,Spayed,f,12,1,AUS
Tiger4Tag,Tiger4,Felis catus,32:18.0,58:04.0, Yes,5,7,Neutered,m,12,1,AUS
AmeliaTag,Amelia,Felis catus,32:34.0,57:10.0, ,1,10,Spayed,f,12,2,AUS
SputnikTag,Sputnik,Felis catus,33:26.0,29:53.0, Yes,1,6,Neutered,m,16,1,AUS
KennyTag,Kenny,Felis catus,44:55.0,19:42.0, ,0,4,Neutered,m,3,1,AUS
DharmaTag,Dharma,Felis catus,32:05.0,30:29.0, No,1,17,Neutered,m,9,2,AUS
Charlie4Tag,Charlie4,Felis catus,32:34.0,27:23.0, No,0,6,Neutered,m,13,1,AUS
ImeldaTag,Imelda,Felis catus,35:27.0,05:45.0, Yes,6,1,Spayed,f,16,1,AUS
TiggyTag,Tiggy,Felis catus,03:12.0,20:54.0, Yes,2,2,Neutered,m,14,1,AUS
SammyTag,Sammy,Felis catus,32:27.0,22:24.0, Yes,6,7,Neutered,m,15,1,AUS
FudgeTag,Fudge,Felis catus,32:34.0,59:28.0, Yes,5,4,Neutered,m,11,1,AUS
GeorgieTag,Georgie,Felis catus,32:35.0,46:02.0, Yes,5,9,Neutered,m,10,1,AUS
Martha2Tag,Martha2,Felis catus,47:34.0,01:12.0, Yes,5,3,Spayed,f,12,1,AUS
RaffyTag,Raffy,Felis catus,00:18.0,18:21.0, Yes,6,14,Neutered,m,8,1,AUS
Boots2Tag,Boots2,Felis catus,02:49.0,59:01.0, Yes,1,14,Neutered,m,15,3,AUS
YorikoTag,Yoriko,Felis catus,00:30.0,55:30.0, Yes,1,13,Spayed,f,20,4,AUS
ZivaTag,Ziva,Felis catus,30:35.0,09:48.0, Yes,9,1,Spayed,f,8,1,AUS
Millie3Tag,Millie3,Felis catus,32:04.0,43:34.0, Yes,1,7,Spayed,f,18,1,AUS
BentleyTag,Bentley,Felis catus,31:05.0,09:11.0, Yes,2,12,Neutered,m,5,2,AUS
DiamondsTag,Diamonds,Felis catus,32:00.0,57:39.0, ,0,2,Spayed,f,2,1,AUS
Monty2Tag,Monty2,Felis catus,32:04.0,32:10.0, Yes,15,7,Neutered,m,3,1,AUS
RudiTag,Rudi,Felis catus,35:11.0,08:10.0, No,0,2,Neutered,m,5,1,AUS
Bella6Tag,Bella6,Felis catus,01:02.0,44:23.0, Yes,11,8,Spayed,f,2,1,AUS
SqueakyTag,Squeaky,Felis catus,00:30.0,56:58.0, ,0,0,Not Fixed,m,24,3,AUS
StalkyTag,Stalky,Felis catus,02:10.0,39:58.0, ,0,10,Spayed,f,10,1,AUS
UnfriendlyTag,Unfriendly,Felis catus,02:40.0,59:00.0, ,1,10,Spayed,f,10,2,AUS
BlueyTag,Bluey,Felis catus,32:21.0,57:47.0, ,0,9,Neutered,m,11,1,AUS
ShanTag,Shan,Felis catus,32:30.0,55:44.0, Yes,1,3,Neutered,m,12,2,AUS
StitchTag,Stitch,Felis catus,12:37.0,05:16.0, Yes,11,6,Neutered,m,10,1,AUS
PudsTag,Puds,Felis catus,00:16.0,32:39.0, No,0,11,Spayed,f,22,1,AUS
TommyTag,Tommy,Felis catus,32:03.0,57:06.0, No,1,2,Neutered,m,23,2,AUS
Max3Tag,Max3,Felis catus,32:21.0,59:13.0, Yes,2,2,Neutered,m,8,1,AUS
MoscowTag,Moscow,Felis catus,32:52.0,57:45.0, Yes,0,4,Neutered,m,8,3,AUS
