tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,hunt,prey_p_month,age_years,animal-reproductive-condition,animal-sex,hrs_indoors, n_cats,study-site
RonaldoTag,Ronaldo,Felis catus,32:04.0,56:46.0, Yes,3,0.58,Neutered,m,16,2,AUS
BambiTag,Bambi,Felis catus,28:19.0,53:31.0, Yes,5,3,Spayed,f,12,1,AUS
HestorTag,Hestor,Felis catus,02:05.0,59:50.0, Yes,5,11,Neutered,m,8,2,AUS
BanjoTag,Banjo,Felis catus,05:46.0,20:33.0, Yes,5,1,Neutered,m,12,1,AUS
GarryTag,Garry,Felis catus,34:13.0,24:03.0, Yes,3,6,Neutered,m,18,1,AUS
AllyTag,Ally,Felis catus,55:30.0,06:01.0, ,0,6,Spayed,f,7,1,AUS
Oscar3Tag,Oscar3,Felis catus,02:15.0,51:38.0, Yes,16,8,Neutered,m,7,1,AUS
YogiTag,Yogi,Felis catus,32:22.0,48:31.0, Yes,2,1,Neutered,m,3,1,AUS
PussTag,Puss,Felis catus,32:23.0,59:47.0, Yes,1,9,Spayed,f,6,1,AUS
SmallTag,Small,Felis catus,44:24.0,01:25.0, Yes,3,9,Neutered,m,14,1,AUS
ScratchTag,Scratch,Felis catus,31:51.0,58:11.0, Yes,1,14,Spayed,f,16,1,AUS
DieselTag,Diesel,Felis catus,32:15.0,54:00.0, Yes,1,2,Neutered,m,16,1,AUS
StanleyTag,Stanley,Felis catus,34:59.0,08:10.0, Yes,3,7,Neutered,m,18,1,AUS
Tom2Tag,Tom2,Felis catus,13:20.0,18:33.0, Yes,1,7,Neutered,m,3,2,AUS
TruffleTag,Truffle,Felis catus,31:42.0,59:12.0, ,1,3,Spayed,f,1,2,AUS
MissyTag,Missy,Felis catus,32:33.0,00:48.0, Yes,2,3,Spayed,f,1,1,AUS
RafikiTag,Rafiki,Felis catus,22:05.0,42:57.0, Yes,4,1,Spayed,f,12,1,AUS
CarmelloTag,Carmello,Felis catus,58:01.0,06:56.0, Yes,0,9,Neutered,m,18,1,AUS
MilkoMcCavityTag,MilkoMcCavity,Felis catus,32:17.0,57:17.0, Yes,0,6,Neutered,m,9,1,AUS
Leo4Tag,Leo4,Felis catus,33:28.0,58:05.0, No,0,16,Neutered,m,18,1,AUS
LeilaTag,Leila,Felis catus,34:27.0,05:03.0, Yes,11,8,Spayed,f,4,1,AUS
Kitty6Tag,Kitty6,Felis catus,41:51.0,40:19.0, Yes,1,5,Spayed,f,18,1,AUS
SamsonTag,Samson,Felis catus,45:57.0,46:01.0, Yes,1,5,Neutered,m,18,2,AUS
Delilah2Tag,Delilah2,Felis catus,48:20.0,17:59.0, Yes,6,6,Spayed,f,12,1,AUS
SylvesterTag,Sylvester,Felis catus,33:02.0,03:27.0, No,0,7,Neutered,m,20,1,AUS
BBTag,BB,Felis catus,33:19.0,06:00.0, No,1,1,Spayed,f,20,2,AUS
SallyTag,Sally,Felis catus,13:04.0,59:10.0, Yes,1,4,Spayed,f,2,1,AUS
ElmoTag,Elmo,Felis catus,30:39.0,28:38.0, Yes,2,12,Neutered,m,12,1,AUS
StealthTag,Stealth,Felis catus,32:04.0,45:29.0, No,0,1,Neutered,m,20,3,AUS
JonesTag,Jones,Felis catus,32:33.0,19:07.0, ,0,11,Neutered,m,6,1,AUS
MimiTag,Mimi,Felis catus,35:57.0,48:08.0, No,0,14,Spayed,f,7,1,AUS
Charlie6Tag,Charlie6,Felis catus,12:09.0,52:13.0, Yes,9,2,Neutered,m,8,1,AUS
Sox2Tag,Sox2,Felis catus,10:25.0,31:43.0, No,0,0.4,Not Fixed,f,24,4,AUS
FrankTag,Frank,Felis catus,55:03.0,59:21.0, No,0,0.5,Not Fixed,m,16,1,AUS
DanaTag,Dana,Felis catus,32:03.0,39:51.0, Yes,2,4,Spayed,f,12,1,AUS
GigiTag,Gigi,Felis catus,32:39.0,05:05.0, Yes,1,13,Spayed,f,12,1,AUS
VenomTag,Venom,Felis catus,32:56.0,15:47.0, Yes,4,7,, ,15,1,AUS
WigglesTag,Wiggles,Felis catus,33:03.0,37:51.0, Yes,11,2,Neutered,m,8,1,AUS
MagicTag,Magic,Felis catus,49:31.0,26:30.0, Yes,3,6,Spayed,f,4,1,AUS
MowdiiTag,Mowdii,Felis catus,59:04.0,31:52.0, Yes,3,8,Spayed,f,19,1,AUS
MynxTag,Mynx,Felis catus,31:24.0,59:43.0, Yes,4,2,Neutered,m,10,2,AUS
Sooty2Tag,Sooty2,Felis catus,32:26.0,57:11.0, Yes,1,11,Spayed,f,8,1,AUS
SethTag,Seth,Felis catus,33:55.0,59:10.0, ,0,1,Neutered,m,8,3,AUS
Henry2Tag,Henry2,Felis catus,32:31.0,28:59.0, Yes,0,8,Neutered,m,5,1,AUS
EestiTag,Eesti,Felis catus,33:21.0,58:11.0, Yes,1,5,Neutered,m,10,2,AUS
RoseyTag,Rosey,Felis catus,50:56.0,42:32.0, Yes,1,6,Spayed,f,10,1,AUS
RemyTag,Remy,Felis catus,10:03.0,59:17.0, Yes,21,10,Neutered,m,4,1,AUS
LunaTag,Luna,Felis catus,10:45.0,35:09.0, Yes,0,0,Spayed,f,9,1,AUS
TiaTag,Tia,Felis catus,17:55.0,42:26.0, Yes,3,10,Spayed,f,10,1,AUS
Jasper4Tag,Jasper4,Felis catus,22:33.0,19:09.0, Yes,2,2,Neutered,m,6,1,AUS
GagglesHieronymusTag,GagglesHieronymus,Felis catus,32:44.0,33:12.0, ,0,5,Neutered,m,2,1,AUS
MeeshaTag,Meesha,Felis catus,32:34.0,31:19.0, Yes,0,8,Spayed,f,9,1,AUS
FlossieTag,Flossie,Felis catus,19:37.0,03:32.0, Yes,3,5,Spayed,f,8,1,AUS
MultiTag,Multi,Felis catus,00:33.0,42:55.0, Yes,0,0.5,Not Fixed,f,0,1,AUS
FurryTag,Furry,Felis catus,30:33.0,59:40.0, Yes,5,6,Spayed,f,12,1,AUS
SugarRaeTag,SugarRae,Felis catus,17:43.0,46:49.0, Yes,8,2,Spayed,f,9,3,AUS
TrixieTag,Trixie,Felis catus,32:30.0,31:57.0, Yes,5,9,Fixed, ,8,1,AUS
KeytuynTag,Keytuyn,Felis catus,33:13.0,58:33.0, Yes,5,1,Neutered,m,10,1,AUS
JoeyTag,Joey,Felis catus,18:39.0,25:40.0, Yes,1,5,Neutered,m,4,1,AUS
Ash2Tag,Ash2,Felis catus,32:21.0,24:08.0, Yes,8,3,Neutered,m,9,1,AUS
Rudi2Tag,Rudi2,Felis catus,33:29.0,36:55.0, No,0,10,Spayed,f,18,1,AUS
SophiePossumTag,SophiePossum,Felis catus,30:33.0,34:06.0, ,0,3,Spayed,f,6,1,AUS
RooTag,Roo,Felis catus,31:33.0,36:35.0, Yes,1,5,Spayed,f,14,1,AUS
RockyTag,Rocky,Felis catus,09:33.0,03:45.0, Yes,2,4,Neutered,m,6,1,AUS
George2Tag,George2,Felis catus,39:13.0,37:10.0, Yes,7,3,Neutered,m,8,1,AUS
Tilly3Tag,Tilly3,Felis catus,46:27.0,53:57.0, Yes,7,3,Spayed,f,12,2,AUS
FrostyTag,Frosty,Felis catus,01:02.0,08:51.0, Yes,1,1,Neutered,m,13,1,AUS
MysticTag,Mystic,Felis catus,32:34.0,57:48.0, ,0,2,Spayed,f,5,1,AUS
Stumpy2Tag,Stumpy2,Felis catus,33:35.0,30:31.0, Yes,4,4,Spayed,f,12,1,AUS
BigglesTag,Biggles,Felis catus,40:39.0,56:39.0, No,1,4,Neutered,m,12,2,AUS
Cleo2Tag,Cleo2,Felis catus,32:21.0,34:33.0, Yes,3,4,Spayed,f,8,1,AUS
SparklesTag,Sparkles,Felis catus,33:43.0,52:26.0, Yes,3,3,Spayed,f,7,1,AUS
GracieLouFreebushTag,GracieLouFreebush,Felis catus,30:34.0,35:21.0, Yes,6,2,Spayed,f,8,1,AUS
Simba2Tag,Simba2,Felis catus,32:03.0,40:33.0, No,0,0.4,Not Fixed,m,15,1,AUS
ZorraTag,Zorra,Felis catus,57:35.0,49:57.0, No,0,11,Spayed,f,8,1,AUS
WeaselTag,Weasel,Felis catus,32:22.0,02:03.0, Yes,4,2,Neutered,m,10,1,AUS
BellaBooTag,BellaBoo,Felis catus,33:21.0,42:32.0, Yes,7,2,Spayed,f,1,1,AUS
GizmoTag,Gizmo,Felis catus,42:39.0,26:14.0, No,0,19,Neutered,m,5,2,AUS
RustyTag,Rusty,Felis catus,44:10.0,09:49.0, No,0,15,Spayed,f,5,1,AUS
StefanoTag,Stefano,Felis catus,37:08.0,17:30.0, Yes,1,2,Neutered,m,14,2,AUS
ZepherTag,Zepher,Felis catus,49:50.0,37:09.0, Yes,1,4,Neutered,m,16,1,AUS
ArielTag,Ariel,Felis catus,32:22.0,58:01.0, Yes,5,1,Neutered,m,17,1,AUS
EnzoTag,Enzo,Felis catus,32:36.0,22:02.0, Yes,2,2,Neutered,m,16,1,AUS
AlrariTag,Alrari,Felis catus,33:13.0,58:54.0, Yes,2,9,Neutered,m,10,2,AUS
MissChiefTag,MissChief,Felis catus,31:34.0,17:28.0, Yes,1,16,Spayed,f,3,1,AUS
LexiTag,Lexi,Felis catus,24:25.0,52:28.0, Yes,5,4,Spayed,f,15,1,AUS
RodgerTag,Rodger,Felis catus,32:03.0,59:47.0, Yes,3,5,Neutered,m,3,1,AUS
TimoTag,Timo,Felis catus,48:33.0,16:14.0, Yes,3,5,Neutered,m,14,1,AUS
Jasmine2Tag,Jasmine2,Felis catus,49:55.0,55:07.0, ,0,8,Spayed,f,16,1,AUS
PoloTag,Polo,Felis catus,32:45.0,17:23.0, ,0,7,Neutered,m,0,2,AUS
MaeveTag,Maeve,Felis catus,35:33.0,12:01.0, ,0,3,Spayed,f,20,1,AUS
Charlotte2Tag,Charlotte2,Felis catus,09:03.0,28:42.0, Yes,2,1,Spayed,f,23,1,AUS
ListerTag,Lister,Felis catus,42:19.0,42:10.0, No,0,19,Neutered,m,24,1,AUS
GarfieldTag,Garfield,Felis catus,51:36.0,32:45.0, Yes,1,9,Neutered,m,10,1,AUS
BelleTag,Belle,Felis catus,49:04.0,35:10.0, Yes,1,4,Spayed,f,6,1,AUS
GyhjorTag,Gyhjor,Felis catus,01:41.0,58:12.0, Yes,1,8,Neutered,m,3,1,AUS
