tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,hunt, prey_p_month,age_years,animal-reproductive-condition,animal-sex,hrs_indoors,study-site
MaddieTag,Maddie,Felis catus,04:25.0,08:09.0, No,,4,Spayed,f,12,NZ
CarinaTag,Carina,Felis catus,04:55.0,17:45.0, Yes,8,2,Spayed,f,18,NZ
HappyFeetTag,HappyFeet,Felis catus,08:48.0,52:19.0, Yes,,4,Neutered,m,10,NZ
ChilliTag,Chilli,Felis catus,02:33.0,44:31.0, Yes,,1,Neutered,m,22,NZ
TinaTag,Tina,Felis catus,02:38.0,10:15.0, Yes,1,4,Spayed,f,5,NZ
CornflakeTag,Cornflake,Felis catus,18:09.0,18:59.0, Yes,1,3,Spayed,f,10,NZ
ArohaJoolsTag,ArohaJools,Felis catus,23:27.0,05:03.0, Yes,1,,Spayed,f,18,NZ
PharosTag,Pharos,Felis catus,01:58.0,51:36.0, Yes,,8,Spayed,f,8,NZ
BaileeTag,Bailee,Felis catus,01:59.0,02:04.0, No,,8,Neutered,m,2,NZ
ApplesTag,Apples,Felis catus,02:33.0,34:20.0, Yes,2,10,Spayed,f,10,NZ
HenryTag,Henry,Felis catus,01:55.0,29:11.0, Yes,2,6,Neutered,m,4,NZ
MarleyTag,Marley,Felis catus,02:55.0,32:22.0, Yes,2,3,Neutered,m,5,NZ
LunaTag,Luna,Felis catus,02:09.0,03:23.0, Yes,3,2,Spayed,f,8,NZ
MilkshakesTag,Milkshakes,Felis catus,02:31.0,24:30.0, Yes,3,3,Neutered,m,8,NZ
MidnightTag,Midnight,Felis catus,02:34.0,50:54.0, Yes,,6,Spayed,f,6,NZ
BellaIITag,BellaII,Felis catus,02:43.0,05:32.0, Yes,3,8,Spayed,f,19,NZ
SkittlesTag,Skittles,Felis catus,02:35.0,03:26.0, Yes,4,2,Spayed,f,5,NZ
BellaTag,Bella,Felis catus,00:44.0,17:25.0,No,,4,Spayed,f,20,NZ
PennyTag,Penny,Felis catus,02:05.0,52:15.0, Yes,5,1,Spayed,f,10,NZ
NougieTag,Nougie,Felis catus,02:04.0,11:46.0, Yes,3,12,Spayed,f,10,NZ
MiloTag,Milo,Felis catus,02:28.0,10:01.0, Yes,11,10,Spayed,f, ,NZ
IzzieTag,Izzie,Felis catus,04:38.0,19:55.0,No,,1,Spayed,f,12,NZ
MokaTag,Moka,Felis catus,18:56.0,00:59.0, Yes,11,4,Spayed,f,12,NZ
SniferTag,Snifer,Felis catus,13:36.0,30:39.0, Yes,4,5,Spayed,f,13,NZ
JinglesTag,Jingles,Felis catus,16:19.0,03:25.0, Yes,21,7,Spayed,f,12,NZ
EllieTag,Ellie,Felis catus,51:57.0,01:14.0, Yes,1,8,Spayed,f,22,NZ
AshTag,Ash,Felis catus,31:03.0,24:57.0, Yes,1,8,Neutered,m,18,NZ
TigerTag,Tiger,Felis catus,01:55.0,04:57.0, Yes,13,1,Neutered,m,16,NZ
OllieTag,Ollie,Felis catus,00:50.0,28:10.0, Yes,6,2,Neutered,m,12,NZ
RogerTag,Roger,Felis catus,03:44.0,29:27.0, Yes,5,0.2,Neutered,m,16,NZ
PresleyTag,Presley,Felis catus,49:11.0,03:29.0, ,,3,,m, ,NZ
RosieTag,Rosie,Felis catus,49:18.0,09:03.0, No,,0.2,Spayed,f,16,NZ
McIvorTag,McIvor,Felis catus,02:21.0,22:27.0, No,,10,Neutered,m,22,NZ
SpudTag,Spud,Felis catus,03:37.0,54:25.0, No,,10,Spayed,f,8,NZ
NimzyTag,Nimzy,Felis catus,03:58.0,03:41.0,No,,4,Spayed,f,12,NZ
SabbathTag,Sabbath,Felis catus,04:16.0,38:25.0, Yes,,9,Neutered,m,16,NZ
BrambleTag,Bramble,Felis catus,48:28.0,09:59.0, Yes,3,3,Spayed,f,16,NZ
BorisdeJongTag,BorisdeJong,Felis catus,29:11.0,50:10.0, ,,0.2,,m, ,NZ
BellaIIITag,BellaIII,Felis catus,00:59.0,53:44.0, Yes,2,4,Spayed,f,10,NZ
LennyTag,Lenny,Felis catus,02:15.0,11:35.0, Yes,6,1,Neutered,m,10,NZ
ZuluTag,Zulu,Felis catus,17:42.0,19:53.0, Yes,11,4,Spayed,f,14,NZ
LillyTag,Lilly,Felis catus,18:28.0,26:59.0, Yes,1,3,Spayed,f,10,NZ
TerabyteTag,Terabyte,Felis catus,21:56.0,22:46.0, Yes,16,1,Spayed,f,12,NZ
PiggieSueTag,PiggieSue,Felis catus,02:50.0,55:36.0, Yes,3,0.8,Spayed,f,6,NZ
NekoIITag,NekoII,Felis catus,02:34.0,58:27.0, Yes,,4,Spayed,f,6,NZ
RogueTag,Rogue,Felis catus,02:51.0,27:58.0, Yes,16,6,Spayed,f,8,NZ
LorenzoTag,Lorenzo,Felis catus,07:07.0,08:39.0, Yes,,2,Neutered,m,15,NZ
BasilTag,Basil,Felis catus,14:31.0,15:21.0, Yes,1,9,Neutered,m,8,NZ
AryaTag,Arya,Felis catus,02:19.0,03:23.0, Yes,16,,Spayed,f,15,NZ
BuzzTag,Buzz,Felis catus,06:08.0,45:46.0, Yes,6,2,Neutered,m,15,NZ
CookieTag,Cookie,Felis catus,01:50.0,06:09.0, Yes,16,3,Spayed,f,8,NZ
TenzingTag,Tenzing,Felis catus,28:38.0,54:28.0, Yes,5,3,Spayed,f,14,NZ
PushkinTag,Pushkin,Felis catus,53:25.0,16:13.0, Yes,2,8,Spayed,f, ,NZ
DottiTag,Dotti,Felis catus,00:55.0,27:27.0, Yes,1,7,Spayed,f,18,NZ
PoppyIIITag,PoppyIII,Felis catus,03:12.0,43:00.0, Yes,2,14,Spayed,f,2,NZ
EwokTag,Ewok,Felis catus,05:26.0,37:26.0, Yes,,2,, ,10,NZ
GertieTag,Gertie,Felis catus,31:47.0,09:50.0, Yes,2,2,Spayed,f,15,NZ
ElliotTag,Elliot,Felis catus,20:21.0,39:13.0, Yes,6,2,Neutered,m,9,NZ
MosesTag,Moses,Felis catus,19:28.0,11:41.0, Yes,11,2,Neutered,m,12,NZ
NalaIITag,NalaII,Felis catus,25:04.0,29:57.0, Yes,4,2,Spayed,f,10,NZ
IggyTag,Iggy,Felis catus,49:24.0,25:17.0, ,,5,,f, ,NZ
BonnieTag,Bonnie,Felis catus,49:25.0,23:58.0, No,,8,Spayed,f,12,NZ
SmudgyBumTag,SmudgyBum,Felis catus,40:48.0,32:47.0, Yes,,9,Neutered,m,2,NZ
SativaTag,Sativa,Felis catus,33:09.0,01:34.0, Yes,2,5,Neutered,m,6,NZ
SantiTag,Santi,Felis catus,03:25.0,22:58.0, Yes,3,2,Spayed,f,11,NZ
PalomaTag,Paloma,Felis catus,04:21.0,06:52.0, Yes,1,2,Spayed,f,16,NZ
PepperTag,Pepper,Felis catus,12:34.0,51:11.0,No,,10,Spayed,f,22,NZ
MaomaoTag,Maomao,Felis catus,02:32.0,48:18.0, No,,8,Neutered,m,4,NZ
NuggetTag,Nugget,Felis catus,02:06.0,39:30.0, Yes,1,6,Spayed,f,18,NZ
CatsbyTag,Catsby,Felis catus,02:26.0,07:24.0, Yes,1,5,Spayed,f,12,NZ
FelixTag,Felix,Felis catus,02:27.0,58:48.0, Yes,4,7,Neutered,m,8,NZ
MarcellusWallaceTag,MarcellusWallace,Felis catus,02:33.0,58:29.0,No,,12,Neutered,m, ,NZ
AstrylTag,Astryl,Felis catus,02:41.0,09:47.0, Yes,2,12,Spayed,f,12,NZ
CasperTag,Casper,Felis catus,31:55.0,42:45.0, Yes,7,4,Neutered,m,16,NZ
RosieIITag,RosieII,Felis catus,36:26.0,06:59.0, Yes,8,1,Spayed,f,6,NZ
DanaTag,Dana,Felis catus,21:27.0,03:18.0, Yes,1,8,Neutered,m,12,NZ
WillowTag,Willow,Felis catus,01:52.0,05:13.0, No,,15,Spayed,f,20,NZ
XanderTag,Xander,Felis catus,02:33.0,17:55.0, Yes,2,6,Neutered,m, ,NZ
TaraTag,Tara,Felis catus,21:22.0,03:43.0, Yes,2,7,Spayed,f,14,NZ
TriceraCatTag,TriceraCat,Felis catus,00:39.0,57:40.0, Yes,16,4,Spayed,f,14,NZ
StinkeyTag,Stinkey,Felis catus,02:24.0,49:15.0, Yes,,0.9,Neutered,m,9,NZ
KittysaurusRexTag,KittysaurusRex,Felis catus,03:18.0,57:29.0, Yes,21,5,Neutered,m,8,NZ
GinTag,Gin,Felis catus,02:04.0,25:49.0, Yes,,5,Spayed,f,10,NZ
LailaTag,Laila,Felis catus,02:05.0,08:32.0, Yes,1,7,Spayed,f,12,NZ
