tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,hunt,prey_p_month,age_years,animal-reproductive-condition,animal-sex,hrs_indoors, n_cats,study-site,state
Mindy2Tag,Mindy2,Felis catus,42:07.0,47:54.0, Yes,8,5,Spayed,f,12,3,US,NY
JoeyTag,Joey,Felis catus,13:33.0,38:35.0, Yes,4,10,Neutered,m,8,4,US,NC
MiloTag,Milo,Felis catus,00:34.0,59:04.0, Yes,8,3,Neutered,m,11,1,US,CT
ElleTag,Elle,Felis catus,16:34.0,41:23.0, No,0,5,Spayed,f,2,4,US,NC
BennyTag,Benny,Felis catus,00:35.0,20:29.0, Yes,8,4,Neutered,m,18,2,US,NC
PeanutRTag,PeanutR,Felis catus,00:35.0,20:21.0, Yes,8,4,Neutered,m,9.5,2,US,NC
Leopard2Tag,Leopard2,Felis catus,03:05.0,58:12.0, N/A, N/A,2,Neutered,m, N/A,1,US,NC
FranklinTag,Franklin,Felis catus,05:01.0,58:55.0, Yes,8,8,Neutered,m,6,2,US,NC
Junior2Tag,Junior2,Felis catus,19:42.0,57:25.0, Yes,1,6,Neutered,m,12,2,US,NC
ConanTag,Conan,Felis catus,52:53.0,59:30.0, Yes,1,13,Neutered,m,1,1,US,NC
Gianni2Tag,Gianni2,Felis catus,19:44.0,04:21.0, Yes,8,10,Neutered,m,6,4,US,NC
SmattieTag,Smattie,Felis catus,09:58.0,48:29.0, Yes,8,6,Neutered,m,6,4,US,NC
Seth2Tag,Seth2,Felis catus,02:12.0,08:25.0, No,0,4,Neutered,m,13,6,US,NC
Aya2Tag,Aya2,Felis catus,16:16.0,26:41.0, Yes,4,3,Neutered,m,8,2,US,Denmark
Fiona2Tag,Fiona2,Felis catus,02:34.0,59:11.0, Yes,20,1,Spayed,f,13,2,US,NC
Purrcy2Tag,Purrcy2,Felis catus,02:56.0,56:46.0, Yes,8,5,Neutered,m,13,3,US,NC
George2Tag,George2,Felis catus,04:04.0,59:46.0, Yes,16,1,Neutered,m,13,2,US,NC
Selkie2Tag,Selkie2,Felis catus,07:05.0,58:00.0, Yes,4,5,Spayed,f,22,4,US,NC
Reggie2Tag,Reggie2,Felis catus,18:36.0,59:20.0, No,0,13,Neutered,m,12,1,US,NC
Asher2Tag,Asher2,Felis catus,02:50.0,24:45.0, Yes,8,3,Neutered,m,11,1,US,NC
Climber2Tag,Climber2,Felis catus,05:38.0,26:09.0, Yes,4,9,Neutered,m,0,2,US,NC
Sunny2Tag,Sunny2,Felis catus,38:50.0,59:52.0, No,0,9,Spayed,f,0,2,US,NC
Nikki2Tag,Nikki2,Felis catus,02:15.0,09:19.0, Yes,4,8,Spayed,f,3,2,US,NY
Bumbles2Tag,Bumbles2,Felis catus,01:44.0,51:43.0, Yes,12,9,Neutered,m,12,2,US,CT
Bela2Tag,Bela2,Felis catus,03:22.0,59:42.0, Yes,1,2,Neutered,m,12,2,US,NC
Pickles2Tag,Pickles2,Felis catus,05:57.0,49:44.0, Yes,12,3,Neutered,m,5,2,US,CT
Bongo2Tag,Bongo2,Felis catus,02:34.0,58:37.0, Yes,12,4,Neutered,m,12,1,US,CT
Lupe2Tag,Lupe2,Felis catus,02:04.0,58:32.0, Yes,12,4,Neutered,m,7,2,US,MA
Chester2Tag,Chester2,Felis catus,22:14.0,58:56.0, Yes,4,4,Neutered,m,10,2,US,NY
Maisey2Tag,Maisey2,Felis catus,47:57.0,01:21.0, Yes,4,2,Spayed,f,12,2,US,NY
Jingles2Tag,Jingles2,Felis catus,05:26.0,57:17.0, Yes,28,8,Neutered,m,15,1,US,CT
Misu2Tag,Misu2,Felis catus,02:22.0,57:35.0, Yes,4,9,Neutered,m,13,1,US,CT
NattyBumpo2Tag,NattyBumpo2,Felis catus,47:14.0,29:29.0, Yes,12,8,Spayed,f,13,2,US,CT
Fenimore Cooper2Tag,Fenimore Cooper2,Felis catus,02:30.0,30:00.0, Yes,4,8,Neutered,m,12,2,US,CT
Penelope2Tag,Penelope2,Felis catus,03:15.0,59:04.0, Yes,8,3,Spayed,f,10,1,US,CT
Bella2Tag,Bella2,Felis catus,02:43.0,58:08.0, Yes,8,5,Spayed,f,10.5,4,US,NC
Gracie L2 Tag,Gracie L2,Felis catus,02:57.0,42:44.0, Yes,4,16,Spayed,f,10.5,4,US,NC
Solo2Tag,Solo2,Felis catus,35:49.0,58:27.0, No,1,2,Neutered,m,13,2,US,NC
Oreo2Tag,Oreo2,Felis catus,01:53.0,57:29.0, Yes,8,5,Neutered,m,7,3,US,NC
Ladybird2Tag,Ladybird2,Felis catus,05:32.0,35:34.0, Yes,4,10,Spayed,f,17,6,US,NC
Striper2Tag,Striper2,Felis catus,05:33.0,58:08.0, Yes,4,10,Spayed,f,16.5,6,US,NC
Billy Whiskers2Tag,Billy Whiskers2,Felis catus,06:06.0,48:20.0, Yes,4,2,Neutered,m,9,6,US,NC
Baby Kitty2Tag,Baby Kitty 2,Felis catus,06:08.0,07:37.0, Yes,8,1,Not fixed,m,9.5,6,US,NC
Diamond2Tag,Diamond2,Felis catus,07:10.0,01:11.0, Yes,16,2,Spayed,f,12,6,US,NC
Smokey2Tag,Smokey2,Felis catus,47:34.0,33:33.0, Yes,4,3,Neutered,m,12,2,US,CT
Shadow2Tag,Shadow2,Felis catus,48:01.0,53:48.0, Yes,4,3,Neutered,m,12,2,US,CT
Senor2Tag,Senor2,Felis catus,03:23.0,29:39.0, Yes,4,13,Neutered,m,0,2,US,CT
Sandstorm2Tag,Sandstorm2,Felis catus,53:52.0,03:12.0, Yes,4,4,Spayed,f,6,2,US,NC
Oliver2Tag,Oliver2,Felis catus,02:43.0,59:06.0, Yes,8,7,Neutered,m,12,1,US,CT
Herman2Tag,Herman2,Felis catus,21:48.0,05:22.0, Yes,4,8,Neutered,m,16,2,US,NY
Willy2Tag,Willy2,Felis catus,01:59.0,59:41.0, Yes,8,13,Neutered,m,12,1,US,CT
SparklesTag,Sparkles,Felis catus,33:46.0,58:22.0, No,0,4,Neutered,m,13,2,US,CA
ZiggyTag,Ziggy,Felis catus,02:11.0,59:32.0, Yes,1,8,Neutered,m,11,1,US,MD
ParkerTag,Parker,Felis catus,01:25.0,56:05.0, Yes,4,6,Neutered,m,12,1,US,CT
