tag_id,animal_id,animal_taxon,deploy_on_date,deploy_off_date,hunt,prey_p_month,animal_reproductive_condition,animal_sex,hrs_indoors,n_cats,study_site,age_years
Bits-Tag,Bits,Felis catus,2017-07-29 01:02:11,2017-07-31 00:44:00,True,3.0,Fixed,f,2.5,3,UK,13.0
Maxwell-Tag,Maxwell,Felis catus,2017-07-29 01:02:12,2017-08-08 03:58:11,True,17.5,Fixed,m,7.5,1,UK,6.0
Lightening Bugg-Tag,Lightening Bugg,Felis catus,2017-07-29 01:02:49,2017-08-03 03:57:58,False,0.0,Fixed,m,12.5,2,UK,0.0
Bobs-Tag,Bobs,Felis catus,2017-07-29 05:36:35,2017-08-05 09:25:34,True,3.0,Fixed,f,7.5,3,UK,13.0
Carrots-Tag,Carrots,Felis catus,2017-08-25 01:01:32,2017-09-01 19:04:26,True,17.5,Fixed,m,7.5,4,UK,3.0
Smudge-Tag,Smudge,Felis catus,2017-08-25 01:01:47,2017-09-01 03:03:32,True,3.0,Fixed,m,7.5,1,UK,3.0
Magic-Tag,Magic,Felis catus,2017-08-25 01:02:00,2017-08-25 17:06:00,True,3.0,Fixed,f,12.5,3,UK,3.0
Spike-Tag,Spike,Felis catus,2017-08-25 01:02:29,2017-09-01 07:59:53,True,7.5,Fixed,m,12.5,1,UK,0.0
Dory-Tag,Dory,Felis catus,2017-08-25 01:03:23,2017-09-01 00:05:31,True,0.5,Unneutered,f,7.5,2,UK,1.0
Tigger-Tag,Tigger,Felis catus,2017-08-25 01:04:55,2017-09-01 01:46:12,True,0.5,Fixed,m,7.5,1,UK,3.0
Jago2-Tag,Jago2,Felis catus,2017-08-25 01:05:18,2017-09-01 18:46:54,True,0.0,Fixed,m,12.5,1,UK,2.0
Frank-Tag,Frank,Felis catus,2017-08-25 01:05:44,2017-09-01 00:08:15,True,3.0,Fixed,m,7.5,1,UK,4.0
Skye-Tag,Skye,Felis catus,2017-08-25 01:22:22,2017-09-01 08:15:26,True,0.5,Fixed,m,12.5,4,UK,5.0
Jezebel-Tag,Jezebel,Felis catus,2017-08-25 01:50:01,2017-09-01 07:58:22,False,0.0,Fixed,f,17.5,4,UK,14.0
Boots-Tag,Boots,Felis catus,2017-08-25 02:00:08,2017-08-31 04:48:28,True,0.0,Fixed,f,22.5,4,UK,16.0
Smudge_2-Tag,Smudge_2,Felis catus,2017-08-25 06:15:27,2017-09-01 06:45:20,True,0.5,Fixed,m,17.5,3,UK,7.0
Frank_2-Tag,Frank_2,Felis catus,2017-08-26 01:03:01,2017-09-02 08:21:37,True,0.0,Fixed,m,7.5,4,UK,7.0
Freya-Tag,Freya,Felis catus,2017-08-27 01:45:09,2017-09-03 02:08:49,True,0.5,Fixed,f,12.5,3,UK,4.0
Spot-Tag,Spot,Felis catus,2017-08-27 02:19:45,2017-09-02 06:37:17,True,17.5,Fixed,m,7.5,4,UK,2.0
Tipsy-Tag,Tipsy,Felis catus,2017-08-28 15:39:12,2017-09-04 09:49:38,False,0.0,Fixed,f,17.5,1,UK,0.0
Flash-Tag,Flash,Felis catus,2017-08-28 23:51:55,2017-09-04 10:28:59,True,3.0,Fixed,f,17.5,2,UK,3.0
Gracie-Tag,Gracie,Felis catus,2017-09-07 05:02:00,2017-09-12 15:32:00,True,0.0,Fixed,f,22.5,1,UK,2.0
Teddy-Tag,Teddy,Felis catus,2017-09-10 01:46:42,2017-09-13 07:46:11,True,0.5,Fixed,f,12.5,3,UK,9.0
Marley-Tag,Marley,Felis catus,2017-09-10 11:02:26,2017-09-15 19:54:44,True,0.5,Fixed,m,7.5,1,UK,1.0
Guinness-Tag,Guinness,Felis catus,2017-09-13 18:02:02,2017-09-18 00:05:25,True,3.0,Fixed,m,17.5,1,UK,7.0
Reggie-Tag,Reggie,Felis catus,2017-09-17 01:02:50,2017-09-24 00:52:32,True,7.5,Fixed,f,12.5,3,UK,8.0
Jessie-Tag,Jessie,Felis catus,2017-09-17 01:04:18,2017-10-16 00:05:36,True,3.0,Fixed,f,7.5,1,UK,5.0
Roger-Tag,Roger,Felis catus,2017-09-17 01:05:12,2017-09-23 23:57:00,True,0.5,Fixed,m,17.5,2,UK,6.0
Gracie_2-Tag,Gracie_2,Felis catus,2017-09-17 01:21:38,2017-09-22 16:15:14,True,0.5,Fixed,f,17.5,2,UK,6.0
Dexter-Tag,Dexter,Felis catus,2017-09-17 01:34:47,2017-09-24 07:35:18,True,3.0,Fixed,m,12.5,1,UK,3.0
Tilly-Tag,Tilly,Felis catus,2017-09-17 02:53:42,2017-09-24 04:27:01,True,3.0,Fixed,f,12.5,3,UK,5.0
Balu-Tag,Balu,Felis catus,2017-09-18 01:03:13,2017-09-25 05:39:45,True,3.0,Fixed,f,2.5,1,UK,7.0
Missy-Tag,Missy,Felis catus,2017-09-18 06:57:14,2017-09-25 06:46:02,True,3.0,Fixed,f,7.5,2,UK,3.0
Dexter2-Tag,Dexter2,Felis catus,2017-09-23 17:31:52,2017-09-29 05:09:59,True,0.0,Fixed,m,2.5,1,UK,1.0
Fairclough-Tag,Fairclough,Felis catus,2017-09-24 01:02:32,2017-10-01 00:31:25,True,0.0,Fixed,m,17.5,2,UK,4.0
Keegan-Tag,Keegan,Felis catus,2017-09-24 01:03:02,2017-09-30 14:41:30,True,3.0,Unneutered,m,7.5,2,UK,3.0
Maggie-Tag,Maggie,Felis catus,2017-09-25 01:03:24,2017-10-02 17:22:57,False,0.0,Fixed,f,22.5,2,UK,3.0
Lily-Tag,Lily,Felis catus,2017-09-25 01:03:54,2017-10-02 14:57:31,False,0.0,Fixed,f,22.5,2,UK,9.0
Abba-Tag,Abba,Felis catus,2017-09-25 01:19:26,2017-10-02 11:04:58,True,3.0,Fixed,f,7.5,2,UK,3.0
Worf-Tag,Worf,Felis catus,2017-09-25 01:20:25,2017-09-30 13:12:47,True,7.5,Fixed,f,2.5,2,UK,8.0
Pants-Tag,Pants,Felis catus,2017-09-28 01:02:00,2017-10-03 10:45:33,False,0.0,Fixed,m,12.5,3,UK,8.0
